type_code,type_name_cn,slogan,subline,quickread_body
QSFR,存证菩萨,心软的神，降临人间,既要捞人，也要死死留痕,「既要又要还要」的传说级选手AKA端水大师：既要救最多的人，也要把每个步骤都梳理清楚，审计之王来了都得给你竖大拇指。舆论绑架不了你，卖惨也对你无效。表面看着像个冷酷的AI，但只有自己人知道，你每个看似无情的决策，都是在给更多人留条活路。
QSFB,救火大王,流程能吃吗？赵妈我来救火！,讨厌开大会，不如立马摇一车面包人,纯正现场派战神。起火一冒烟，你第一反应绝不是翻那破手册，而是先把活人拽出火坑。你比谁都清楚越权的代价，但你更懂「人没了就什么都没了」。因为检讨书能补交，人命可没法挽回。这性格容易招黑也容易封神，但绝对是危机关头的天降猛女和猛男。
QSNR,人形避雷针,活着，才是英雄！,别画饼，我只吃现成的,你做决策像给洪水关闸，先排除所有不确定性，再选出那个最稳如老狗的方案。比起「搏一搏，单车变摩托」，你更喜欢「现在就确认」的踏实感。有人觉得你没什么浪漫细胞，但一旦出事，你就是所有人眼里的定海神针。不一定最闪亮，但绝对是最后那个负责兜底的人。
QSNB,硬核止血钳,先止血，嘴炮留着当复盘BGM,「现在」才是最高优先级,你对危机的态度be like立刻！马上！让损失停下来！你能接受任何怪异的操作，只要它能减少伤亡。别想用「以后会优化的」来PUA你，你知道很多人根本等不到那个以后。你可能会被吐槽为人太强硬，但团队一旦出事，最离不开的就是你这个硬核物理灭火器。
QPFR,清醒判官,长线运营玩家，主打顶级抗压,不看熟人buff，只看公共后果,你很少把「谁是自己人」混进决策，更看重规则在公共层面是不是可复制、能服众。为了长期稳定，你甘愿承受眼前的争议，也愿意解释为什么公平不等于冷漠。你不追求讨好所有人，而是努力让团队在下一次危机里依然站得住。你就是行走的「制度设计师」。
QPFB,规则重启者,规矩说不行，就给它Ctrl+Z了,敢拆旧墙，也敢背旧账,祖宗之法不可变？可笑！一旦旧规则开始批量制造牺牲品，你就会主动打补丁，甚至重写。你不享受与人Battle，但愿意承担冲突成本。初期容易被当成大冤种挨骂，但等结果落地后，当初骂你的人都会追着引用你的话。不是叛逆，只是把「出结果」当作唯一的KPI。
QPNR,情绪杀鱼佬,不站队不上头，按章程能救命,情绪已静音，判断始终在线,你在冲突里很少被带节奏，擅长把情绪噪音和事实证据精准分离。你不偏袒熟人，也不迷信激情演讲，而是把「可追责、可复盘、可执行」放在前面。别人觉得你冷得像在大润发杀了十年鱼，但你偏偏是永远稳定输出的定心丸。你的眼睛就是尺，量得慢，但几乎从不量错。
QPNB,现场总指挥,别整那些虚的，先灭火,可执行永远比可感动重要一万倍,你判断问题的方式很务实：现在能做什么、马上能救谁、立刻能降多少风险。你喜欢道德表演，也不把绝对正确当刚需。你是现场总指挥，先控灾，再去补那该死的文书。会有人说你「太现实、没情怀」，但你深知，在真正的生死题里，极致的现实主义才是最大的善意。
ISFR,分寸型偏执,偏心无罪，我不乱来,我的偏爱，属于可持续性双标,你坦然接受关系的重量，也尊重规则的边界。你从不假装自己完全中立，但你会把「偏心」控制在能负责、能说清的范围内。你愿意为自己的选择买单，而不是把锅甩给情绪。你最宝藏的地方就是，在「有温度」和「有分寸」这两件看似矛盾的事上，保持平衡。
ISFB,义气代名词,自己人优先，规矩靠后,双标我认，后果我也一肩扛,你从不藏着掖着，立场直接写在脸上。在你看来，关系不是噪音，是沉甸甸的责任。真到关键时刻，你为了在乎的人能打破所有模板、顶着骂名硬扛所有后果。你觉得这不是不公平，而是「真实」。你太容易被贴标签，也最容易在别人求救时，毫不犹豫地伸出援手。
ISNR,长期主义家,先护眼前人，别赌大远景,把遥远的饼换成握得住的手,你更爱「具体的人」，对宏大叙事天生免疫。你更相信能握在手里的承诺，而不是远方兑现的期权。做选择时，你永远优先考虑关系责任和当下安全，绝不会把亲近的人拿去做概率实验的赌注。你看起来保守，但在很多人心里，你就是那个永远不会松手的人。
ISNB,熟人优先党,谁是我的人，谁就先上船,不装客观，先救熟人,你判断生死题的第一步不是计算总量，而是光速确认「谁是我的责任圈」。你反应比谁都快，下手比谁都狠，能在绝对混乱中直接拍板，绝不把时间浪费在自我内耗上。有人觉得你太主观，但你从不假装无私：连自己最在乎的人都护不住，还谈什么价值观。
IPFR,人本建筑师,每个人都不是可替换的零件,尊重鲜活个体，也敬畏长期责任,你对「把人当数字」这种操作天生PTSD。你会优先看见每个具体的人身上不可替代的部分，同时又愿意承担长期后果，绝不做短暂的廉价感动。你不是无脑心软，也不是冷血算法，而是在感性和理性之间建了一座桥。你是团队里稀缺的那类人：既有人味，也有结构感。
IPFB,裂缝补光者,规则写给平均，人命是定制款,先看人，条款只是参考答案,你的最强外挂是「能看见具体的人」。全世界都在大谈原则时，你能瞬间锁定谁会被制度的缝隙吞没，并且愿意出手改写结局。你比谁都清楚，越线要付出代价，但不越线也有代价。你选择扛起前者，因为你无比确定：冰冷死板的正确，不等于人的正确。
IPNR,尊严守门员,哪怕拖慢节奏，也要把人当人,任何人都不是可接受的损失,你把个体尊严看得极重，也坚持程序的边界，绝不靠情绪上头来做生死决定。你宁可多花十倍的时间去确认，也不愿把某个人草率归类成「可接受损失」。你的选择可能不够爽，但很少留下伦理烂账。你可能会被嘴「太谨慎」，但事后复盘，永远最经得起推敲。
IPNB,逆流孤勇者,多数人的正确，不一定是活路,爱你孤身走暗巷 爱你不跪的模样,你经常逆着主流做选择，因为你更在意眼前个体的生存权，而不是让多数人感到舒适的大叙事。你不信「牺牲少数换大局」的天然正确，尤其那个少数就活生生地站在你面前。你也许会被误解为感情用事，但内心明白，有些人一旦放手，就再也没有第二次机会了。
